Address,Sale Price,Sub-Nbhood,Beds,Bath,Sale Date
77 BLEECKER STREET,550000.0,NoHo,0.0,1.0,2016-01-31
159 WEST 53 STREET,1825000.0,Midtown Center,2.0,2.0,2016-01-29
477 FDR DRIVE,900000.0,Lower East Side,2.0,1.0,2016-01-29
154 ATTORNEY STREET,1130000.0,Lower East Side,2.0,1.0,2016-01-29
350 WEST 50 STREET,920000.0,Hells Kitchen,1.0,1.0,2016-01-29
565 WEST END AVENUE,2250000.0,Upper West Side,3.0,2.0,2016-01-29
7 EAST 14 STREET,900000.0,Flatiron,,,2016-01-29
10 WEST 15 STREET,975000.0,Flatiron,,,2016-01-29
225 EAST 73 STREET,875000.0,Upper East Side,1.0,1.0,2016-01-29
20 EAST 35 STREET,742600.0,Murray Hill,,,2016-01-29
305 EAST 51 STREET,5060568.0,Turtle Bay,3.0,3.0,2016-01-29
188 EAST 76 STREET,3800000.0,Upper East Side,3.0,3.5,2016-01-29
211 THOMPSON STREET,535000.0,Greenwich Village,0.0,1.0,2016-01-29
158 HESTER STREET,708888.0,Chinatown,,,2016-01-29
200 EAST 94 STREET,1415305.0,Yorkville,2.0,2.0,2016-01-29
348 WEST 38 STREET,1600000.0,Hudson Yards,,,2016-01-29
567 WEST 184 STREET,860000.0,Fort George,10.0,4.5,2016-01-29
455 WEST 43 STREET,1050000.0,Hells Kitchen,2.0,1.5,2016-01-29
660 RIVERSIDE DRIVE,430950.0,Hamilton Heights,1.0,1.0,2016-01-29
5 FRANKLIN PLACE,2344520.0,TriBeCa,2.0,2.0,2016-01-29
305 EAST 51 STREET,2521662.0,Turtle Bay,2.0,2.0,2016-01-29
290 WEST STREET,12982687.0,TriBeCa,4.0,4.5,2016-01-29
140 WEST END AVENUE,830000.0,Lincoln Square,,,2016-01-29
200 EAST 94 STREET,618498.0,Yorkville,0.0,1.0,2016-01-29
43 WEST 61 STREET,999880.0,Lincoln Square,2.0,1.0,2016-01-29
155 WEST 126 STREET,727030.0,Central Harlem,1.0,1.5,2016-01-29
105 WEST 77 STREET,510000.0,Upper West Side,0.0,1.0,2016-01-29
181 EAST 73 STREET,2700000.0,Upper East Side,3.0,3.0,2016-01-29
2 SOUTH END AVENUE,1890000.0,Battery Park City,3.0,3.0,2016-01-29
4 WEST 16 STREET,4200000.0,Flatiron,,,2016-01-29
48 WEST 138 STREET,329550.0,Central Harlem,1.0,1.0,2016-01-29
750 RIVERSIDE DRIVE,407628.0,Hamilton Heights,,,2016-01-29
77 SEVENTH AVENUE,1260000.0,Chelsea,1.0,1.0,2016-01-29
280 PARK AVENUE SOUTH,1200000.0,Flatiron,1.0,1.0,2016-01-29
132 EAST 19 STREET,1750000.0,Gramercy Park,2.0,1.0,2016-01-29
350 WEST 14 STREET,1155000.0,West Village,1.0,1.0,2016-01-29
23 EAST 74 STREET,1100000.0,Upper East Side,1.0,1.5,2016-01-29
445 WEST 19 STREET,985000.0,Chelsea,1.0,1.0,2016-01-29
330 EAST 79 STREET,1450000.0,Upper East Side,2.0,2.0,2016-01-29
66 OVERLOOK TERRACE,410000.0,Hudson Heights,1.0,1.0,2016-01-29
330 EAST 38 STREET,1135000.0,Murray Hill,,,2016-01-29
100 RIVERSIDE BLVD,2600000.0,Lincoln Square,3.0,3.0,2016-01-29
845 UNITED NATIONS PLAZA,14800000.0,Turtle Bay,4.0,5.5,2016-01-29
160 EAST 65 STREET,1100000.0,Lenox Hill,,,2016-01-29
400 PARK AVENUE SOUTH,5850000.0,NoMad,3.0,3.0,2016-01-29
401 EAST 86 STREET,970833.0,Yorkville,,,2016-01-29
420 EAST 58 STREET,775000.0,Sutton Place,1.0,1.0,2016-01-29
200 EAST 94 STREET,1169739.0,Yorkville,1.0,1.0,2016-01-29
333 EAST 30 STREET,1500000.0,Kips Bay,,,2016-01-29
2373 BROADWAY,675000.0,Upper West Side,0.0,1.0,2016-01-29
11 NORTH MOORE STREET,6788163.0,TriBeCa,4.0,4.0,2016-01-29
15 WILLIAM STREET,1135348.0,Financial District,1.0,1.0,2016-01-29
101 WEST 24 STREET,1760000.0,Chelsea,1.0,1.0,2016-01-29
305 EAST 51 STREET,4713909.0,Turtle Bay,3.0,3.0,2016-01-29
233 WEST 134 STREET,595000.0,Central Harlem,2.0,1.0,2016-01-29
303 WEST 146 STREET,483360.0,Central Harlem,1.0,1.0,2016-01-29
15 BROAD STREET,1450000.0,Financial District,2.0,2.0,2016-01-29
505 WEST 19 STREET,4139186.0,Chelsea,2.0,2.5,2016-01-29
326 CONVENT AVENUE,4950000.0,Hamilton Heights,,,2016-01-29
340 EAST 93 STREET,535000.0,Yorkville,1.0,1.0,2016-01-29
435 EAST 52 STREET,7800000.0,Turtle Bay,5.0,5.5,2016-01-29
200 EAST 66 STREET,1960131.0,Lenox Hill,1.0,1.0,2016-01-29
400 PARK AVENUE SOUTH,3487506.0,NoMad,2.0,2.5,2016-01-29
245 EAST 24 STREET,453750.0,Kips Bay,0.0,1.0,2016-01-29
211 EAST 35 STREET,532500.0,Murray Hill,1.0,1.5,2016-01-29
530 EAST 90 STREET,510000.0,Yorkville,,,2016-01-29
400 PARK AVENUE SOUTH,2876556.0,NoMad,2.0,2.0,2016-01-29
136 EAST 56 STREET,650000.0,Midtown Center,1.0,1.0,2016-01-29
115 FOURTH AVENUE,1817576.0,East Village,,,2016-01-29
29 WEST 138 STREET,364000.0,Central Harlem,1.0,1.0,2016-01-29
8 WEST 83 STREET,561741.0,Upper West Side,,,2016-01-29
128 CENTRAL PARK SOUTH,995000.0,Midtown Center,1.0,1.5,2016-01-29
622 WEST 114 STREET,717500.0,Morningside Heights,2.0,1.0,2016-01-29
225 WEST 83 STREET,1710000.0,Upper West Side,2.0,2.0,2016-01-29
101 WEST 79 STREET,3500000.0,Upper West Side,3.0,2.0,2016-01-29
29 WEST 64 STREET,729500.0,Lincoln Square,1.0,1.0,2016-01-29
541 WEST 141 STREET,1920000.0,Hamilton Heights,5.0,2.5,2016-01-29
52 LISPENARD STREET,6975012.0,TriBeCa,4.0,4.5,2016-01-29
135 EAST 71 STREET,1150000.0,Lenox Hill,1.0,1.5,2016-01-29
240 WEST 23 STREET,2200000.0,Chelsea,3.0,2.0,2016-01-29
321 WEST 108 STREET,4750000.0,Upper West Side,,,2016-01-29
447 FORT WASHINGTON AVENUE,680000.0,Washington Heights,2.0,1.0,2016-01-29
736 WEST 187 STREET,865000.0,Hudson Heights,3.0,2.0,2016-01-29
30 WEST 15 STREET,2700000.0,Flatiron,2.0,2.5,2016-01-29
320 EAST 57 STREET,690000.0,Sutton Place,1.0,1.0,2016-01-29
262 CENTRAL PARK WEST,11300000.0,Upper West Side,3.0,3.5,2016-01-28
301 EAST 79 STREET,875000.0,Yorkville,1.0,1.0,2016-01-28
400 PARK AVENUE SOUTH,2403059.0,NoMad,1.0,1.0,2016-01-28
1 IRVING PLACE,2565000.0,Gramercy Park,,,2016-01-28
408 WEST 34 STREET,556839.0,Hudson Yards,1.0,1.0,2016-01-28
212 EAST 77 STREET,350000.0,Upper East Side,0.0,1.0,2016-01-28
153 EAST 57 STREET,595000.0,Sutton Place,1.0,1.0,2016-01-28
392 CENTRAL PARK WEST,815000.0,Manhattan Valley,0.0,1.0,2016-01-28
1000 PARK AVENUE,1470000.0,Upper East Side,,,2016-01-28
