month,hawkish_score,dovish_score,neutral_score,finbert_negative_ratio
2016-01-01,18.5554,21.3507,60.094,0.535
2016-02-01,18.5554,21.3507,60.094,0.535
2016-03-01,21.283,29.0825,49.6345,0.5774
2016-04-01,23.9939,27.5184,48.4876,0.5342
2016-05-01,23.9939,27.5184,48.4876,0.5342
2016-06-01,20.5188,28.9774,50.5038,0.5854
2016-07-01,24.0495,27.2765,48.674,0.5314
2016-08-01,24.0495,27.2765,48.674,0.5314
2016-09-01,19.6903,23.0978,57.2118,0.5398
2016-10-01,19.6903,23.0978,57.2118,0.5398
2016-11-01,21.4278,23.707,54.8652,0.5252
2016-12-01,24.4517,21.8993,53.649,0.4725
2017-01-01,24.4517,21.8993,53.649,0.4725
2017-02-01,20.0279,18.1312,61.841,0.4751
2017-03-01,21.0727,18.4318,60.4956,0.4666
2017-04-01,21.0727,18.4318,60.4956,0.4666
2017-05-01,23.6523,21.8364,54.5112,0.48
2017-06-01,20.7959,19.7408,59.4632,0.487
2017-07-01,20.897,21.1159,57.9872,0.5026
2017-08-01,20.897,21.1159,57.9872,0.5026
2017-09-01,19.547,26.2812,54.1717,0.5735
2017-10-01,19.547,26.2812,54.1717,0.5735
2017-11-01,19.4767,26.6085,53.9148,0.5774
2017-12-01,23.4359,18.1664,58.3976,0.4367
2018-01-01,20.4472,13.1103,66.4426,0.3907
2018-02-01,20.4472,13.1103,66.4426,0.3907
2018-03-01,24.3276,22.3193,53.3532,0.4785
2018-04-01,24.3276,22.3193,53.3532,0.4785
2018-05-01,23.6266,19.0509,57.3226,0.4464
2018-06-01,26.7275,13.976,59.2964,0.3434
2018-07-01,26.7275,13.976,59.2964,0.3434
2018-08-01,26.2968,14.5048,59.1984,0.3555
2018-09-01,24.1971,15.8606,59.9423,0.3959
2018-10-01,24.1971,15.8606,59.9423,0.3959
2018-11-01,22.7546,15.3361,61.9094,0.4026
2018-12-01,21.8263,16.4584,61.7152,0.4299
2019-01-01,19.2609,12.3525,68.3866,0.3907
2019-02-01,19.2609,12.3525,68.3866,0.3907
2019-03-01,15.1952,24.3049,60.4998,0.6153
2019-04-01,15.1952,24.3049,60.4998,0.6153
2019-05-01,19.6371,21.4304,58.9324,0.5218
2019-06-01,17.2368,28.9317,53.8316,0.6267
2019-07-01,17.9466,24.0852,57.9681,0.573
2019-08-01,17.9466,24.0852,57.9681,0.573
2019-09-01,16.2551,26.1064,57.6385,0.6163
2019-10-01,9.5043,17.1727,73.323,0.6437
2019-11-01,9.5043,17.1727,73.323,0.6437
2019-12-01,18.4234,21.0748,60.5018,0.5336
2020-01-01,18.4234,21.0748,60.5018,0.5336
2020-02-01,18.4234,21.0748,60.5018,0.5336
2020-03-01,18.4234,21.0748,60.5018,0.5336
2020-04-01,18.4234,21.0748,60.5018,0.5336
2020-05-01,18.4234,21.0748,60.5018,0.5336
2020-06-01,18.4234,21.0748,60.5018,0.5336
2020-07-01,18.4234,21.0748,60.5018,0.5336
2020-08-01,18.4234,21.0748,60.5018,0.5336
2020-09-01,18.4234,21.0748,60.5018,0.5336
2020-10-01,18.4234,21.0748,60.5018,0.5336
2020-11-01,18.4234,21.0748,60.5018,0.5336
2020-12-01,18.4234,21.0748,60.5018,0.5336
2021-01-01,21.7011,19.7613,58.5376,0.4766
2021-02-01,21.7011,19.7613,58.5376,0.4766
2021-03-01,28.0136,19.1567,52.8298,0.4061
2021-04-01,28.8644,15.7553,55.3803,0.3531
2021-05-01,28.8644,15.7553,55.3803,0.3531
2021-06-01,26.9006,16.2972,56.8022,0.3773
2021-07-01,21.3088,19.4665,59.2248,0.4774
2021-08-01,21.3088,19.4665,59.2248,0.4774
2021-09-01,24.6148,21.5118,53.8734,0.4664
2021-10-01,24.6148,21.5118,53.8734,0.4664
2021-11-01,26.8804,18.5754,54.5442,0.4086
2021-12-01,23.6429,16.4162,59.9409,0.4098
2022-01-01,18.658,16.8398,64.5023,0.4744
2022-02-01,18.658,16.8398,64.5023,0.4744
2022-03-01,16.9398,22.184,60.8761,0.567
2022-04-01,16.9398,22.184,60.8761,0.567
2022-05-01,17.1954,24.6192,58.1853,0.5888
2022-06-01,16.16,26.7744,57.0655,0.6236
2022-07-01,14.9791,30.3843,54.6366,0.6698
2022-08-01,14.9791,30.3843,54.6366,0.6698
2022-09-01,15.5718,29.3594,55.0688,0.6534
2022-10-01,15.5718,29.3594,55.0688,0.6534
2022-11-01,14.3651,27.9367,57.6982,0.6604
2022-12-01,14.9908,28.7813,56.2279,0.6575
2023-01-01,14.9908,28.7813,56.2279,0.6575
2023-02-01,12.086,25.9192,61.9949,0.682
2023-03-01,15.7628,19.6215,64.6157,0.5545
2023-04-01,15.7628,19.6215,64.6157,0.5545
2023-05-01,18.2776,22.746,58.9764,0.5545
2023-06-01,19.4062,20.4638,60.13,0.5133
2023-07-01,19.3672,19.415,61.2178,0.5006
2023-08-01,19.3672,19.415,61.2178,0.5006
2023-09-01,21.9352,19.0245,59.0404,0.4645
2023-10-01,21.9352,19.0245,59.0404,0.4645
2023-11-01,21.2432,20.2991,58.4577,0.4886
2023-12-01,16.1486,27.6452,56.2062,0.6313
2024-01-01,18.9274,20.5584,60.5142,0.5207
2024-02-01,18.9274,20.5584,60.5142,0.5207
2024-03-01,20.2911,19.205,60.504,0.4863
2024-04-01,20.2911,19.205,60.504,0.4863
2024-05-01,20.4848,20.2907,59.2244,0.4976
2024-06-01,21.7235,20.6405,57.636,0.4872
2024-07-01,18.4467,24.2143,57.339,0.5676
2024-08-01,18.4467,24.2143,57.339,0.5676
2024-09-01,12.4653,23.9544,63.5802,0.6577
2024-10-01,12.4653,23.9544,63.5802,0.6577
2024-11-01,13.2038,22.7105,64.0858,0.6324
2024-12-01,13.4362,21.3458,65.2179,0.6137
2025-01-01,15.3114,15.241,69.4476,0.4988
2025-02-01,15.3114,15.241,69.4476,0.4988
2025-03-01,13.6774,20.485,65.8376,0.5996
2025-04-01,13.6774,20.485,65.8376,0.5996
2025-05-01,14.7262,20.6624,64.6115,0.5839
2025-06-01,16.9402,17.1278,65.932,0.5028
2025-07-01,11.2085,20.2218,68.5698,0.6434
2025-08-01,8.81,1.5431,89.6469,0.149
2025-09-01,7.7051,29.0169,63.278,0.7902
2025-10-01,11.2886,21.3669,67.3444,0.6543
2025-11-01,11.2886,21.3669,67.3444,0.6543
2025-12-01,8.3896,21.1714,70.4391,0.7162
