Sub-Nbhood,count
Upper West Side,2184
Lincoln Square,1494
Upper East Side,1475
Yorkville,1354
Lenox Hill,1350
Chelsea,1262
Greenwich Village,904
Murray Hill,900
Hells Kitchen,858
TriBeCa,786
Turtle Bay,761
Sutton Place,738
Gramercy Park,736
Midtown Center,717
West Village,635
Financial District,571
Carnegie Hill,553
East Village,469
Lower East Side,440
Kips Bay,407
South Harlem,399
Manhattan Valley,383
Central Harlem,368
Flatiron,363
Battery Park City,347
East Harlem,321
NoMad,295
Hudson Heights,282
Morningside Heights,242
SoHo,239
Hamilton Heights,224
Washington Heights,213
Hudson Square,196
South Street Seaport,192
NoHo,189
Midtown South,159
Two Bridges,157
Inwood,142
Hudson Yards,130
Roosevelt Island,89
NoLita,63
Chinatown,58
Civic Center,55
Fort George,54
West Harlem & Manhattanville,44
Little Italy,22
